,Name,Sync,F1X1,F1X3,F1Y1,F1Y2,F1Z1,F1Z2,F1Z3,F1Z4,F2X1,F2X3,F2Y1,F2Y2,F2Z1,F2Z2,F2Z3,F2Z4
1118,1.863333,10431.0,152.0,260.0,297.0,176.0,389.0,217.0,1364.0,1816.0,-31.0,0.0,-16.0,1.0,-14.0,-1.0,-17.0,-8.0
1119,1.865,10426.0,154.0,272.0,299.0,176.0,391.0,218.0,1363.0,1817.0,-28.0,-3.0,-17.0,0.0,-15.0,-1.0,-6.0,-13.0
1120,1.866667,10432.0,125.0,243.0,269.0,144.0,355.0,181.0,1330.0,1783.0,-73.0,-37.0,-62.0,-44.0,-63.0,-45.0,-54.0,-50.0
1121,1.868333,10429.0,139.0,260.0,286.0,162.0,374.0,203.0,1355.0,1803.0,-45.0,-15.0,-31.0,-10.0,-37.0,-18.0,-24.0,-24.0
1122,1.87,10441.0,151.0,277.0,302.0,174.0,387.0,216.0,1366.0,1808.0,-32.0,0.0,-21.0,-2.0,-17.0,-6.0,-10.0,-9.0
1123,1.871667,10432.0,161.0,287.0,304.0,178.0,389.0,220.0,1366.0,1809.0,-31.0,0.0,-15.0,0.0,-15.0,-2.0,-6.0,-13.0
1124,1.873333,10432.0,161.0,292.0,307.0,176.0,388.0,218.0,1368.0,1810.0,-28.0,6.0,-19.0,0.0,-15.0,-1.0,-8.0,-9.0
1125,1.875,10423.0,131.0,265.0,276.0,144.0,357.0,182.0,1334.0,1775.0,-71.0,-41.0,-61.0,-42.0,-65.0,-47.0,-53.0,-53.0
1126,1.876667,10413.0,141.0,282.0,299.0,164.0,374.0,204.0,1359.0,1794.0,-47.0,-14.0,-33.0,-12.0,-28.0,-20.0,-24.0,-21.0
1127,1.878333,10424.0,162.0,304.0,311.0,176.0,388.0,217.0,1368.0,1804.0,-34.0,-2.0,-18.0,-2.0,-18.0,-3.0,-10.0,-15.0
1128,1.88,10430.0,167.0,316.0,318.0,173.0,386.0,221.0,1371.0,1801.0,-28.0,4.0,-20.0,0.0,-15.0,-1.0,-8.0,-5.0
1129,1.881667,10424.0,166.0,322.0,314.0,170.0,389.0,218.0,1370.0,1802.0,-30.0,1.0,-14.0,-1.0,-17.0,-2.0,-8.0,-9.0
1130,1.883333,10434.0,137.0,293.0,276.0,133.0,353.0,184.0,1336.0,1764.0,-71.0,-36.0,-60.0,-43.0,-61.0,-54.0,-54.0,-53.0
1131,1.885,10426.0,158.0,313.0,288.0,150.0,373.0,201.0,1356.0,1786.0,-50.0,-14.0,-29.0,-14.0,-31.0,-14.0,-27.0,-24.0
1132,1.886667,10428.0,173.0,330.0,307.0,156.0,384.0,217.0,1365.0,1788.0,-31.0,-1.0,-19.0,0.0,-18.0,-3.0,-9.0,-8.0
1133,1.888333,10427.0,177.0,335.0,304.0,162.0,385.0,217.0,1372.0,1789.0,-31.0,3.0,-13.0,-2.0,-16.0,-3.0,-10.0,-6.0
1134,1.89,10428.0,179.0,338.0,301.0,160.0,387.0,221.0,1366.0,1788.0,-30.0,1.0,-16.0,3.0,-16.0,-4.0,-9.0,-7.0
1135,1.891667,10442.0,149.0,303.0,266.0,125.0,349.0,184.0,1337.0,1749.0,-76.0,-38.0,-58.0,-45.0,-59.0,-46.0,-58.0,-53.0
1136,1.893333,10428.0,166.0,322.0,283.0,137.0,369.0,204.0,1357.0,1770.0,-44.0,-17.0,-32.0,-15.0,-30.0,-15.0,-21.0,-23.0
1137,1.895,10437.0,179.0,333.0,296.0,156.0,376.0,218.0,1372.0,1775.0,-31.0,0.0,-19.0,-3.0,-19.0,-5.0,-9.0,-8.0
1138,1.896667,10427.0,182.0,336.0,296.0,152.0,382.0,220.0,1370.0,1778.0,-28.0,1.0,-17.0,4.0,-20.0,-3.0,-10.0,-7.0
1139,1.898333,10429.0,184.0,338.0,293.0,151.0,382.0,221.0,1375.0,1775.0,-30.0,0.0,-13.0,1.0,-15.0,-1.0,-14.0,-8.0
1140,1.9,10430.0,152.0,308.0,256.0,116.0,346.0,185.0,1343.0,1738.0,-70.0,-42.0,-59.0,-44.0,-65.0,-50.0,-50.0,-57.0
1141,1.901667,10431.0,170.0,321.0,270.0,132.0,363.0,204.0,1362.0,1759.0,-47.0,-10.0,-35.0,-16.0,-30.0,-17.0,-26.0,-22.0
1142,1.903333,10428.0,181.0,330.0,282.0,146.0,376.0,218.0,1378.0,1766.0,-33.0,-1.0,-16.0,0.0,-22.0,-5.0,-12.0,-9.0
1143,1.905,10427.0,187.0,335.0,280.0,146.0,381.0,221.0,1379.0,1765.0,-30.0,1.0,-16.0,1.0,-10.0,-5.0,-8.0,-9.0
1144,1.906667,10426.0,188.0,335.0,277.0,144.0,382.0,220.0,1378.0,1766.0,-32.0,-1.0,-15.0,1.0,-16.0,-1.0,-9.0,-16.0
1145,1.908333,10439.0,157.0,303.0,243.0,110.0,343.0,187.0,1349.0,1730.0,-73.0,-38.0,-67.0,-42.0,-61.0,-48.0,-54.0,-51.0
1146,1.91,10411.0,173.0,317.0,256.0,127.0,362.0,203.0,1372.0,1748.0,-45.0,-14.0,-29.0,-17.0,-32.0,-18.0,-24.0,-22.0
1147,1.911667,10431.0,185.0,330.0,269.0,140.0,375.0,221.0,1382.0,1756.0,-33.0,0.0,-17.0,0.0,-16.0,-8.0,-12.0,-10.0
1148,1.913333,10434.0,189.0,338.0,269.0,140.0,376.0,222.0,1387.0,1758.0,-33.0,1.0,-17.0,0.0,-15.0,-4.0,-8.0,-12.0
1149,1.915,10428.0,191.0,331.0,272.0,138.0,375.0,224.0,1387.0,1755.0,-26.0,0.0,-19.0,0.0,-14.0,-4.0,-9.0,-5.0
1150,1.916667,10430.0,161.0,302.0,234.0,106.0,341.0,185.0,1357.0,1722.0,-73.0,-36.0,-57.0,-50.0,-61.0,-48.0,-51.0,-55.0
1151,1.918333,10392.0,174.0,319.0,252.0,122.0,358.0,209.0,1373.0,1740.0,-45.0,-12.0,-34.0,-13.0,-33.0,-19.0,-21.0,-20.0
1152,1.92,10432.0,193.0,332.0,265.0,135.0,370.0,221.0,1391.0,1748.0,-34.0,0.0,-19.0,-2.0,-17.0,-1.0,-17.0,-9.0
1153,1.921667,10434.0,193.0,340.0,266.0,137.0,372.0,224.0,1391.0,1745.0,-28.0,-3.0,-17.0,0.0,-14.0,-1.0,-9.0,-10.0
1154,1.923333,10438.0,196.0,342.0,268.0,140.0,372.0,226.0,1392.0,1745.0,-30.0,1.0,-16.0,-2.0,-15.0,0.0,-10.0,-7.0
1155,1.925,10444.0,165.0,313.0,233.0,103.0,340.0,189.0,1358.0,1711.0,-71.0,-41.0,-58.0,-40.0,-64.0,-49.0,-54.0,-55.0
1156,1.926667,10414.0,184.0,327.0,251.0,120.0,355.0,210.0,1379.0,1723.0,-46.0,-9.0,-32.0,-14.0,-28.0,-18.0,-27.0,-21.0
1157,1.928333,10429.0,199.0,346.0,264.0,134.0,368.0,223.0,1392.0,1733.0,-30.0,-6.0,-17.0,-1.0,-17.0,-4.0,-8.0,-12.0
